elapsed_s,temp_c,power_w,sm_pct,mem_pct,clk_sm_mhz,clk_mem_mhz,mem_gb,pcirx_gbs
864,65,233.61,100,24,1770,9501,954,2,8
866,63,193.08,100,100,1770,9501,700,2,8
868,63,236.90,100,100,1770,9501,700,2,8
870,63,236.66,100,100,1770,9501,700,2,8
872,63,236.35,100,100,1770,9501,700,2,8
874,63,236.59,100,100,1770,9501,700,2,8
876,63,183.28,100,32,1770,9501,570,2,8
878,64,218.56,100,32,1770,9501,570,2,8
880,64,218.72,100,32,1770,9501,570,2,8
882,64,218.55,100,32,1770,9501,570,2,8
884,64,218.89,100,32,1770,9501,570,2,8
886,59,179.08,4,0,1770,9501,2236,2,8
888,61,200.73,100,100,1770,9501,2236,2,8
891,61,200.84,100,100,1770,9501,2236,2,8
893,61,200.44,100,100,1770,9501,2236,2,8
895,61,200.40,100,100,1770,9501,2236,2,8
897,61,200.45,100,100,1770,9501,2236,2,8
899,61,160.14,95,20,1770,9501,954,2,8
